,SOURCE,TARGET,RATE
294,1320,1,1
295,874,1,1
296,2177,1,1
297,2892,1,1
298,636,1,1
299,1034,1,1
300,1494,1,1
301,276,1,1
302,1318,1,1
303,117,1,1
304,1492,1,1
305,1302,1,1
306,1313,1,1
307,1491,1,1
308,2870,1,1
309,2181,1,1
310,1309,1,1
311,1750,1,1
312,2848,1,1
313,1458,1,1
314,951,1,1
315,1029,1,1
316,2176,1,1
317,2846,1,1
318,347,1,1
319,2173,1,1
320,2826,1,1
321,1742,1,1
322,2166,1,1
323,2823,1,1
324,2820,1,1
325,2814,1,1
326,1736,1,1
327,1025,1,1
328,1482,1,1
329,1483,1,1
330,2152,1,1
331,2806,1,1
332,1128,1,1
333,2801,1,1
334,2795,1,1
335,1290,1,1
336,1288,1,1
337,1436,1,1
338,2498,1,1
339,2784,1,1
340,587,1,1
341,2780,1,1
342,2779,1,1
343,305,1,1
344,944,1,1
345,2129,1,1
346,683,1,1
347,42,1,1
348,1136,1,1
349,1283,1,1
350,2127,1,1
351,2093,1,1
352,1284,1,1
353,72,1,1
354,264,1,1
355,2756,1,1
356,1285,1,1
357,613,1,1
358,304,1,1
359,1282,1,1
360,4721,1,1
361,1475,1,1
362,2746,1,1
363,1715,1,1
364,734,1,1
365,2108,1,1
366,1923,1,1
367,1465,1,1
368,2742,1,1
369,2117,1,1
370,1720,1,1
371,90,1,1
372,2731,1,1
373,1457,1,1
374,2725,1,1
375,2109,1,1
376,543,1,1
377,2102,1,1
378,712,1,1
379,231,1,1
380,2687,1,1
381,1708,1,1
382,1129,1,1
383,76,1,1
384,2065,1,1
385,1251,1,1
386,1248,1,1
387,725,1,1
388,2559,1,1
389,507,1,1
390,1942,1,1
391,1232,1,1
392,534,1,1
393,994,1,1
394,503,1,1
395,2448,1,1
396,846,1,1
397,1,160,10
398,1,1028,7
399,1,309,5
400,1,11,5
401,1,594,5
402,1,1316,5
403,1,1392,4
404,1,1583,4
405,1,888,4
406,1,637,4
407,1,1520,4
408,1,18,4
409,1,35,4
410,1,1901,3
411,1,44,3
412,1,10,3
413,1,783,3
414,1,821,3
415,1,112,3
416,1,964,3
417,1,89,3
418,1,20,3
419,1,256,3
420,1,223,3
421,1,1881,2
422,1,351,2
423,1,196,2
424,1,416,2
425,1,1877,2
426,1,87,2
427,1,2367,2
428,1,3254,2
429,1,1573,2
430,1,247,2
431,1,1353,2
432,1,493,2
433,1,1358,2
434,1,1177,2
435,1,1538,2
436,1,2296,2
437,1,222,2
438,1,2282,2
439,1,2113,2
440,1,2260,2
441,1,71,2
442,1,142,2
443,1,2249,2
444,1,1519,2
445,1,2227,2
446,1,1496,2
447,1,519,2
448,1,1493,2
449,1,1315,2
450,1,1750,2
451,1,156,2
452,1,9,2
453,1,1724,2
454,1,22,2
455,1,15,2
456,1,255,2
457,1,1267,2
458,1,1261,2
459,1,57,2
460,1,710,2
461,1,472,2
462,1,152,2
463,1,1952,2
464,1,1606,2
465,1,379,2
466,1,4,2
467,1,563,2
468,1,113,2
469,1,744,1
470,1,625,1
471,1,3422,1
472,1,3421,1
473,1,3418,1
474,1,3402,1
475,1,250,1
476,1,249,1
477,1,2427,1
478,1,3414,1
479,1,1590,1
480,1,3355,1
481,1,2305,1
482,1,1900,1
483,1,3385,1
484,1,1147,1
485,1,377,1
486,1,1072,1
487,1,96,1
488,1,118,1
489,1,3375,1
490,1,3367,1
491,1,1024,1
492,1,709,1
493,1,3349,1
494,1,1580,1
495,1,545,1
496,1,146,1
497,1,1198,1
498,1,1589,1
499,1,3341,1
500,1,3339,1
501,1,2402,1
502,1,2401,1
503,1,1382,1
504,1,3335,1
505,1,3317,1
506,1,3329,1
507,1,3332,1
508,1,3330,1
509,1,1867,1
510,1,1197,1
511,1,3319,1
512,1,1885,1
513,1,1862,1
514,1,1886,1
515,1,649,1
516,1,154,1
517,1,3316,1
518,1,617,1
519,1,3313,1
520,1,3300,1
521,1,1522,1
522,1,2391,1
523,1,896,1
524,1,3298,1
525,1,462,1
526,1,3295,1
527,1,432,1
528,1,3292,1
529,1,3290,1
530,1,2383,1
531,1,1195,1
532,1,3283,1
533,1,1875,1
534,1,3279,1
535,1,2378,1
536,1,1579,1
537,1,291,1
538,1,454,1
539,1,2375,1
540,1,292,1
541,1,158,1
542,1,3256,1
543,1,1846,1
544,1,3259,1
545,1,1066,1
546,1,1061,1
547,1,3253,1
548,1,1860,1
549,1,3247,1
550,1,2368,1
551,1,151,1
552,1,3245,1
553,1,1574,1
554,1,290,1
555,1,1570,1
556,1,3233,1
557,1,891,1
558,1,1856,1
559,1,115,1
560,1,3215,1
561,1,483,1
562,1,1365,1
563,1,3211,1
564,1,3210,1
565,1,3189,1
566,1,3193,1
567,1,1847,1
568,1,3202,1
569,1,2351,1
570,1,1063,1
571,1,2352,1
572,1,1051,1
573,1,3173,1
574,1,1843,1
575,1,3163,1
576,1,1186,1
577,1,7341,1
578,1,2342,1
579,1,3139,1
580,1,3167,1
581,1,459,1
582,1,2338,1
583,1,1842,1
584,1,2334,1
585,1,3156,1
586,1,817,1
587,1,1840,1
588,1,3141,1
589,1,1521,1
590,1,3149,1
591,1,2324,1
592,1,1839,1
593,1,3143,1
594,1,3148,1
595,1,3142,1
596,1,1060,1
597,1,7431,1
598,1,1355,1
599,1,3134,1
600,1,174,1
601,1,2315,1
602,1,1356,1
603,1,3124,1
604,1,1835,1
605,1,296,1
606,1,1180,1
607,1,3118,1
608,1,1542,1
609,1,3113,1
610,1,3111,1
611,1,3013,1
612,1,529,1
613,1,1826,1
614,1,3103,1
615,1,1822,1
616,1,3101,1
617,1,753,1
618,1,3083,1
619,1,3088,1
620,1,395,1
621,1,3084,1
622,1,333,1
623,1,1339,1
624,1,3068,1
625,1,3042,1
626,1,3078,1
627,1,596,1
628,1,1796,1
629,1,2281,1
630,1,3070,1
631,1,1442,1
632,1,3064,1
633,1,194,1
634,1,3062,1
635,1,701,1
636,1,3059,1
637,1,124,1
638,1,7427,1
639,1,3057,1
640,1,396,1
641,1,2276,1
642,1,2273,1
643,1,3048,1
644,1,523,1
645,1,2271,1
646,1,95,1
647,1,1525,1
648,1,2235,1
649,1,2261,1
650,1,1342,1
651,1,331,1
652,1,3027,1
653,1,3023,1
654,1,3026,1
655,1,373,1
656,1,68,1
657,1,1331,1
658,1,116,1
659,1,2147,1
660,1,3020,1
661,1,2252,1
662,1,179,1
663,1,3004,1
664,1,491,1
665,1,214,1
666,1,439,1
667,1,3010,1
668,1,2090,1
669,1,3006,1
670,1,810,1
671,1,1167,1
672,1,697,1
673,1,67,1
674,1,258,1
675,1,1793,1
676,1,3000,1
677,1,2999,1
678,1,1340,1
679,1,2996,1
680,1,2989,1
681,1,1043,1
682,1,554,1
683,1,1336,1
684,1,1337,1
685,1,2238,1
686,1,178,1
687,1,747,1
688,1,2966,1
689,1,2962,1
690,1,474,1
691,1,330,1
692,1,260,1
693,1,2952,1
694,1,455,1
695,1,2941,1
696,1,2947,1
697,1,2945,1
698,1,2942,1
699,1,623,1
700,1,1509,1
701,1,2926,1
702,1,29,1
703,1,2217,1
704,1,123,1
705,1,1510,1
706,1,1505,1
707,1,2927,1
708,1,804,1
709,1,2920,1
710,1,301,1
711,1,2782,1
712,1,2907,1
713,1,2909,1
714,1,958,1
715,1,1148,1
716,1,1502,1
717,1,2904,1
718,1,955,1
719,1,874,1
720,1,2898,1
721,1,1500,1
722,1,2198,1
723,1,1320,1
724,1,1760,1
725,1,1494,1
726,1,2178,1
727,1,2892,1
728,1,636,1
729,1,1034,1
730,1,276,1
731,1,2876,1
732,1,1318,1
733,1,259,1
734,1,2881,1
735,1,117,1
736,1,1492,1
737,1,2185,1
738,1,1313,1
739,1,1491,1
740,1,2870,1
741,1,1309,1
742,1,2181,1
743,1,2858,1
744,1,2177,1
745,1,1749,1
746,1,2848,1
747,1,1458,1
748,1,951,1
749,1,1029,1
750,1,2176,1
751,1,347,1
752,1,2846,1
753,1,2845,1
754,1,370,1
755,1,2173,1
756,1,2844,1
757,1,1302,1
758,1,2167,1
759,1,2837,1
760,1,517,1
761,1,2826,1
762,1,2166,1
763,1,2163,1
764,1,1742,1
765,1,2830,1
766,1,1295,1
767,1,2823,1
768,1,2632,1
769,1,2820,1
770,1,2814,1
771,1,796,1
772,1,1736,1
773,1,1025,1
774,1,1482,1
775,1,1483,1
776,1,2152,1
777,1,2810,1
778,1,2149,1
779,1,2808,1
780,1,2144,1
781,1,2806,1
782,1,1128,1
783,1,38,1
784,1,2801,1
785,1,736,1
786,1,2136,1
787,1,2795,1
788,1,2793,1
789,1,1288,1
790,1,1436,1
791,1,2498,1
792,1,7603,1
793,1,2786,1
794,1,2784,1
795,1,587,1
796,1,2783,1
797,1,2780,1
798,1,944,1
799,1,305,1
800,1,2779,1
801,1,2775,1
802,1,346,1
803,1,683,1
804,1,2772,1
805,1,2129,1
806,1,75,1
807,1,2771,1
808,1,175,1
809,1,1136,1
810,1,1283,1
811,1,2127,1
812,1,2767,1
813,1,2764,1
814,1,2763,1
815,1,2093,1
816,1,1284,1
817,1,72,1
818,1,264,1
819,1,2754,1
820,1,2756,1
821,1,1285,1
822,1,613,1
823,1,304,1
824,1,1282,1
825,1,4721,1
826,1,2752,1
827,1,2750,1
828,1,2746,1
829,1,586,1
830,1,2747,1
831,1,2119,1
832,1,1715,1
833,1,1475,1
834,1,734,1
835,1,2744,1
836,1,2108,1
837,1,1923,1
838,1,2743,1
839,1,1465,1
840,1,1720,1
841,1,2742,1
842,1,2117,1
843,1,90,1
844,1,2707,1
845,1,1457,1
846,1,2731,1
847,1,2725,1
848,1,2109,1
849,1,2713,1
850,1,155,1
851,1,543,1
852,1,2102,1
853,1,231,1
854,1,1708,1
855,1,2700,1
856,1,2687,1
857,1,1413,1
858,1,1129,1
859,1,2695,1
860,1,76,1
861,1,1445,1
862,1,2065,1
863,1,2619,1
864,1,2605,1
865,1,1251,1
866,1,2586,1
867,1,1117,1
868,1,300,1
869,1,1248,1
870,1,725,1
871,1,578,1
872,1,2559,1
873,1,507,1
874,1,1942,1
875,1,1232,1
876,1,42,1
877,1,534,1
878,1,994,1
879,1,503,1
880,1,2448,1
881,1,846,1
882,1,2,1
883,1,7348,-1
884,1,7425,-1
885,1,7557,-1
886,1,7589,-1
887,1368,2,10
888,164,2,10
889,244,2,10
890,62,2,10
891,2244,2,10
892,148,2,10
893,7403,2,10
894,52,2,10
895,264,2,10
896,159,2,10
897,66,2,10
898,20,2,10
899,60,2,10
900,585,2,10
901,97,2,10
902,2006,2,10
903,1421,2,10
904,353,2,10
905,42,2,10
906,37,2,10
907,51,2,9
908,185,2,9
909,38,2,9
910,7603,2,9
911,312,2,9
912,168,2,9
913,354,2,8
914,108,2,8
915,9,2,8
916,22,2,8
917,91,2,8
918,40,2,8
919,250,2,8
920,271,2,8
921,119,2,8
922,10,2,8
923,113,2,8
924,54,2,8
925,375,2,7
926,177,2,7
927,31,2,7
928,47,2,7
929,17,2,7
930,23,2,7
931,74,2,7
932,4,2,7
933,179,2,6
934,165,2,6
935,306,2,6
936,8,2,5
937,242,2,5
938,412,2,5
939,381,2,5
940,561,2,5
941,216,2,5
942,107,2,5
943,681,2,5
944,79,2,5
945,272,2,5
946,39,2,5
947,150,2,5
948,181,2,5
949,109,2,5
950,503,2,5
951,223,2,5
952,2404,2,4
953,24,2,4
954,19,2,4
955,7,2,4
956,348,2,4
957,11,2,4
958,473,2,4
959,1921,2,4
960,99,2,4
961,121,2,4
962,15,2,3
963,1380,2,3
964,30,2,3
965,73,2,3
966,85,2,3
967,189,2,3
968,787,2,3
969,133,2,3
970,1709,2,3
971,75,2,3
972,658,2,3
973,293,2,3
974,768,2,3
975,45,2,3
976,471,2,3
977,1632,2,3
978,281,2,2
979,269,2,2
980,96,2,2
981,2336,2,2
982,87,2,2
983,206,2,2
984,330,2,2
985,90,2,2
986,241,2,2
987,190,2,2
988,1494,2,2
989,7577,2,2
990,798,2,2
991,211,2,2
992,140,2,2
993,217,2,2
994,182,2,2
995,236,2,2
996,777,2,2
997,1098,2,2
998,106,2,2
999,237,2,2
1000,44,2,2
1001,1401,2,2
1002,1409,2,2
1003,769,2,2
1004,1209,2,2
1005,917,2,2
1006,710,2,2
1007,114,2,1
1008,2698,2,1
1009,1127,2,1
1010,249,2,1
1011,1009,2,1
1012,1386,2,1
1013,173,2,1
1014,126,2,1
1015,43,2,1
1016,222,2,1
1017,647,2,1
1018,58,2,1
1019,5,2,1
1020,1156,2,1
1021,553,2,1
1022,170,2,1
1023,93,2,1
1024,145,2,1
1025,1523,2,1
1026,350,2,1
1027,89,2,1
1028,77,2,1
1029,1785,2,1
1030,166,2,1
1031,489,2,1
1032,25,2,1
1033,161,2,1
1034,1475,2,1
1035,83,2,1
1036,117,2,1
1037,146,2,1
1038,277,2,1
1039,70,2,1
1040,1487,2,1
1041,67,2,1
1042,175,2,1
1043,270,2,1
1044,587,2,1
1045,871,2,1
1046,389,2,1
1047,544,2,1
1048,2631,2,1
1049,672,2,1
1050,137,2,1
1051,424,2,1
1052,65,2,1
1053,1693,2,1
1054,475,2,1
1055,35,2,1
1056,449,2,1
1057,1998,2,1
1058,1977,2,1
1059,915,2,1
1060,63,2,1
1061,1957,2,1
1062,1635,2,1
1063,508,2,1
1064,2499,2,1
1065,2497,2,1
1066,299,2,1
1067,1225,2,1
1068,1232,2,1
1069,238,2,1
1070,2488,2,1
1071,1936,2,1
1072,382,2,1
1073,355,2,1
1074,1090,2,1
1075,1222,2,1
1076,21,2,1
1077,564,2,1
1078,2459,2,1
1079,774,2,1
1080,209,2,1
1081,1922,2,1
1082,504,2,1
1083,987,2,1
1084,2446,2,1
1085,986,2,1
1086,1603,2,1
1087,379,2,1
1088,446,2,1
1089,436,2,1
1090,512,2,1
1091,2,37,10
1092,2,38,9
1093,2,168,9
1094,2,4,9
1095,2,20,8
1096,2,767,8
1097,2,23,8
1098,2,40,8
1099,2,91,8
1100,2,113,8
1101,2,54,8
1102,2,108,7
1103,2,469,7
1104,2,250,7
1105,2,271,7
1106,2,471,7
1107,2,185,6
1108,2,188,6
1109,2,31,6
1110,2,312,6
1111,2,74,6
1112,2,119,6
1113,2,8,5
1114,2,381,5
1115,2,223,5
1116,2,257,5
1117,2,47,5
1118,2,17,5
1119,2,9,5
1120,2,150,5
1121,2,7400,5
1122,2,263,5
1123,2,42,5
1124,2,109,5
1125,2,489,4
1126,2,145,4
1127,2,107,4
1128,2,22,4
1129,2,473,4
1130,2,99,4
1131,2,165,3
1132,2,24,3
1133,2,7,3
1134,2,189,3
1135,2,787,3
1136,2,264,3
1137,2,66,3
1138,2,562,3
1139,2,270,3
1140,2,871,3
1141,2,15,3
1142,2,137,3
1143,2,75,3
1144,2,353,3
1145,2,21,3
1146,2,658,3
1147,2,45,3
1148,2,121,3
1149,2,10,3
1150,2,164,2
1151,2,1380,2
1152,2,2404,2
1153,2,1691,2
1154,2,14,2
1155,2,13,2
1156,2,139,2
1157,2,206,2
1158,2,19,2
1159,2,318,2
1160,2,561,2
1161,2,51,2
1162,2,90,2
1163,2,241,2
1164,2,1494,2
1165,2,77,2
1166,2,133,2
1167,2,70,2
1168,2,211,2
1169,2,681,2
1170,2,272,2
1171,2,862,2
1172,2,140,2
1173,2,217,2
1174,2,182,2
1175,2,251,2
1176,2,1098,2
1177,2,106,2
1178,2,503,2
1179,2,1409,2
1180,2,446,2
1181,2,769,2
1182,2,1209,2
1183,2,917,2
1184,2,710,2
1185,2,1632,2
1186,2,2006,2
1187,2,2698,1
1188,2,1127,1
1189,2,647,1
1190,2,126,1
1191,2,43,1
1192,2,242,1
1193,2,87,1
1194,2,5,1
1195,2,111,1
1196,2,1156,1
1197,2,16,1
1198,2,412,1
1199,2,5342,1
1200,2,95,1
1201,2,85,1
1202,2,3,1
1203,2,219,1
1204,2,93,1
1205,2,18,1
1206,2,350,1
1207,2,268,1
1208,2,89,1
1209,2,1785,1
1210,2,306,1
1211,2,25,1
1212,2,161,1
1213,2,52,1
1214,2,97,1
1215,2,83,1
1216,2,117,1
1217,2,146,1
1218,2,2839,1
1219,2,1487,1
1220,2,67,1
1221,2,175,1
1222,2,587,1
1223,2,1475,1
1224,2,1709,1
1225,2,672,1
1226,2,39,1
1227,2,424,1
1228,2,1693,1
1229,2,35,1
1230,2,449,1
1231,2,1998,1
1232,2,1929,1
1233,2,1977,1
1234,2,236,1
1235,2,777,1
1236,2,63,1
1237,2,1957,1
1238,2,1635,1
1239,2,915,1
1240,2,65,1
1241,2,508,1
1242,2,2499,1
1243,2,2497,1
1244,2,299,1
1245,2,1421,1
1246,2,1225,1
1247,2,1232,1
1248,2,2488,1
1249,2,1936,1
1250,2,382,1
1251,2,355,1
1252,2,238,1
1253,2,1090,1
1254,2,1222,1
1255,2,564,1
1256,2,2459,1
1257,2,774,1
1258,2,420,1
1259,2,237,1
1260,2,209,1
1261,2,1922,1
1262,2,532,1
1263,2,504,1
1264,2,7401,1
1265,2,987,1
1266,2,2446,1
1267,2,200,1
1268,2,44,1
1269,2,986,1
1270,2,148,1
1271,2,1603,1
1272,2,379,1
1273,2,436,1
1274,2,512,1
1275,2,402,1
1276,2,11,-5
1277,2,7508,-5
1278,2,7552,-5
1279,2,7500,-10
1280,2,7482,-10
1281,2,7583,-10
1282,2,798,-10
1283,2,7577,-10
1284,2,7603,-10
1285,971,3,10
1286,92,3,10
1287,7336,3,10
1288,5,3,8
1289,1545,3,8
1290,103,3,8
1291,207,3,7
1292,43,3,7
1293,6,3,7
1294,7380,3,6
1295,333,3,6
1296,287,3,6
1297,754,3,6
1298,26,3,5
1299,34,3,5
1300,525,3,5
1301,545,3,5
1302,56,3,5
1303,1849,3,5
1304,557,3,5
1305,208,3,5
1306,1558,3,5
1307,2346,3,5
1308,974,3,5
1309,262,3,5
1310,2001,3,5
1311,142,3,5
1312,815,3,5
1313,120,3,5
1314,492,3,5
1315,1175,3,5
1316,32,3,5
1317,259,3,5
1318,177,3,5
1319,172,3,5
1320,1347,3,5
1321,1338,3,5
1322,105,3,4
1323,891,3,4
1324,818,3,4
1325,890,3,4
1326,347,3,4
1327,93,3,4
1328,1362,3,4
1329,1547,3,4
1330,351,3,4
1331,42,3,4
1332,123,3,4
1333,113,3,4
1334,1056,3,4
1335,2280,3,4
1336,879,3,4
1337,36,3,4
1338,590,3,3
1339,3254,3,3
1340,291,3,3
1341,3260,3,3
1342,1174,3,3
1343,3198,3,3
1344,460,3,3
1345,3200,3,3
1346,30,3,3
1347,589,3,3
1348,115,3,3
1349,433,3,3
1350,81,3,3
1351,7509,3,3
1352,973,3,3
1353,1555,3,3
1354,2334,3,3
1355,3154,3,3
1356,7595,3,3
1357,244,3,3
1358,1361,3,3
1359,2331,3,3
1360,1061,3,3
1361,21,3,3
1362,1356,3,3
1363,509,3,3
1364,969,3,3
1365,197,3,3
1366,493,3,3
1367,124,3,3
1368,621,3,3
1369,1036,3,3
1370,1054,3,3
1371,1818,3,3
1372,90,3,3
1373,358,3,3
1374,1339,3,3
1375,396,3,3
1376,748,3,3
1377,24,3,3
1378,13,3,3
1379,170,3,3
1380,2336,3,2
1381,88,3,2
1382,163,3,2
1383,158,3,2
1384,1576,3,2
1385,2353,3,2
1386,3221,3,2
1387,1358,3,2
1388,136,3,2
1389,1367,3,2
1390,7512,3,2
1391,757,3,2
1392,49,3,2
1393,646,3,2
1394,190,3,2
1395,1839,3,2
1396,2328,3,2
1397,1360,3,2
1398,7377,3,2
1399,7431,3,2
1400,2321,3,2
1401,125,3,2
1402,174,3,2
1403,1548,3,2
1404,1837,3,2
1405,173,3,2
1406,1834,3,2
1407,107,3,2
1408,703,3,2
1409,1456,3,2
1410,7406,3,2
1411,1832,3,2
1412,242,3,2
1413,3105,3,2
1414,641,3,2
1415,320,3,2
1416,955,3,2
1417,885,3,2
1418,632,3,2
1419,2300,3,2
1420,702,3,2
1421,228,3,2
1422,752,3,2
1423,2291,3,2
1424,656,3,2
1425,877,3,2
1426,7,3,2
1427,1043,3,2
1428,2293,3,1
1429,58,3,1
1430,290,3,1
1431,87,3,1
1432,72,3,1
1433,650,3,1
1434,3328,3,1
1435,720,3,1
1436,1379,3,1
1437,219,3,1
1438,19,3,1
1439,309,3,1
1440,3275,3,1
1441,1336,3,1
1442,345,3,1
1443,336,3,1
1444,295,3,1
1445,154,3,1
1446,1375,3,1
1447,97,3,1
1448,435,3,1
1449,7390,3,1
1450,753,3,1
1451,12,3,1
1452,1853,3,1
1453,1184,3,1
1454,1064,3,1
1455,1560,3,1
1456,988,3,1
1457,7341,3,1
1458,203,3,1
1459,976,3,1
1460,1063,3,1
1461,289,3,1
1462,454,3,1
1463,7394,3,1
1464,3203,3,1
1465,1844,3,1
1466,2053,3,1
1467,1363,3,1
1468,3181,3,1
1469,288,3,1
1470,2263,3,1
1471,111,3,1
1472,1843,3,1
1473,774,3,1
1474,3132,3,1
1475,1059,3,1
1476,2332,3,1
1477,691,3,1
1478,1550,3,1
1479,1060,3,1
1480,286,3,1
1481,205,3,1
1482,1359,3,1
1483,1459,3,1
1484,2315,3,1
1485,135,3,1
1486,1835,3,1
1487,10,3,1
1488,7432,3,1
1489,1815,3,1
1490,3127,3,1
1491,1836,3,1
1492,296,3,1
1493,266,3,1
1494,2311,3,1
1495,40,3,1
1496,1129,3,1
1497,1147,3,1
1498,2308,3,1
1499,331,3,1
1500,27,3,1
1501,755,3,1
1502,2306,3,1
1503,5679,3,1
1504,1790,3,1
1505,1523,3,1
1506,63,3,1
1507,937,3,1
1508,100,3,1
1509,53,3,1
1510,2298,3,1
1511,3087,3,1
1512,1274,3,1
1513,227,3,1
1514,1348,3,1
1515,75,3,1
1516,2295,3,1
1517,394,3,1
1518,3043,3,1
1519,2285,3,1
1520,1536,3,1
1521,883,3,1
1522,8,3,1
1523,199,3,1
1524,2290,3,1
1525,11,3,1
1526,1816,3,1
1527,62,3,1
1528,95,3,1
1529,701,3,1
1530,1524,3,1
1531,1169,3,1
1532,749,3,1
1533,876,3,1
1534,33,3,-2
1535,3,5,8
1536,3,92,8
1537,3,6,8
1538,3,207,6
1539,3,123,6
1540,3,287,6
1541,3,103,6
1542,3,34,5
1543,3,56,5
1544,3,142,5
1545,3,120,5
1546,3,351,5
1547,3,333,5
1548,3,43,5
1549,3,32,5
1550,3,1338,5
1551,3,170,5
1552,3,105,4
1553,3,818,4
1554,3,208,4
1555,3,974,4
1556,3,347,4
1557,3,93,4
1558,3,973,4
1559,3,1362,4
1560,3,1547,4
1561,3,509,4
1562,3,197,4
1563,3,1545,4
1564,3,1056,4
1565,3,492,4
1566,3,2280,4
1567,3,879,4
1568,3,36,4
1569,3,259,4
1570,3,19,3
1571,3,291,3
