,0
624,1090
625,1222
626,564
627,2459
628,774
629,420
630,237
631,209
632,1922
633,532
634,504
635,7401
636,987
637,2446
638,200
639,986
640,148
641,1603
642,436
643,512
644,402
645,7508
646,7552
647,7500
648,7482
649,7583
650,798
651,7577
652,92
653,6
654,207
655,287
656,103
657,34
658,56
659,120
660,32
661,1338
662,170
663,105
664,818
665,208
666,974
667,973
668,1362
669,1547
670,509
671,197
672,1545
673,1056
674,492
675,2280
676,879
677,36
678,460
679,30
680,557
681,1849
682,136
683,1558
684,890
685,262
686,190
687,1555
688,7595
689,1361
690,971
691,1359
692,1824
693,621
694,1036
695,754
696,1054
697,702
698,1818
699,88
700,163
701,590
702,1576
703,7380
704,7525
705,2353
706,638
707,1174
708,525
709,289
710,1363
711,2346
712,7512
713,81
714,7509
715,646
716,162
717,244
718,1360
719,7377
720,2321
721,1548
722,1834
723,969
724,886
725,1832
726,641
727,2306
728,1790
729,1523
730,937
731,632
732,2300
733,1175
734,752
735,2295
736,394
737,2291
738,1536
739,358
740,748
741,1816
742,7336
743,1347
744,3328
745,720
746,650
747,1379
748,3275
749,345
750,295
751,3260
752,1375
753,2903
754,7390
755,12
756,1853
757,1184
758,3221
759,1560
760,203
761,3198
762,976
763,3203
764,3200
765,1367
766,433
767,2053
768,3181
769,288
770,2263
771,757
772,49
773,2336
774,3132
775,1059
776,2332
777,3154
778,691
779,2328
780,1550
781,286
782,2331
783,205
784,1459
785,27
786,1837
787,135
788,173
789,125
790,815
791,7432
792,1815
793,3127
794,1836
795,266
796,703
797,1456
798,7406
799,3105
800,2311
801,320
802,2308
803,755
804,5679
805,885
806,100
807,53
808,2298
809,3087
810,228
811,1274
812,227
813,1348
814,2285
815,883
816,199
817,2290
818,656
819,62
820,877
821,1524
822,749
823,3049
824,876
825,172
826,7604
827,302
828,423
829,311
830,131
831,501
832,626
833,479
834,1239
835,1109
836,510
837,437
838,1230
839,1270
840,159
841,177
842,215
843,1678
844,1009
845,572
846,202
847,1108
848,1107
849,1398
850,567
851,274
852,654
853,661
854,466
855,910
856,1091
857,1602
858,365
859,841
860,84
861,583
862,1702
863,2201
864,361
865,386
866,7327
867,1264
868,356
869,2024
870,727
871,1010
872,781
873,2017
874,2002
875,3774
876,664
877,1003
878,367
879,181
880,1634
881,326
882,538
883,1233
884,1615
885,536
886,1621
887,1415
888,323
889,1611
890,1088
891,609
892,1085
893,366
894,771
895,711
896,380
897,153
898,419
899,468
900,193
901,768
902,2103
903,3356
904,2405
905,411
906,807
907,2997
908,1038
909,521
910,1322
911,265
912,2868
913,1737
914,1139
915,2740
916,733
917,26
918,2709
919,859
920,2001
921,1636
922,1642
923,918
924,2511
925,341
926,570
927,716
928,313
929,718
930,2492
931,1218
932,1086
933,2485
934,535
935,2467
936,2468
937,2465
938,401
939,224
940,772
941,2454
942,848
943,773
944,842
945,2442
946,7550
947,840
948,2439
949,1908
950,531
951,1087
952,1909
953,7569
954,7582
955,7596
956,46
957,248
958,435
959,191
960,335
961,59
962,58
963,982
964,61
965,826
966,122
967,1872
968,391
969,1068
970,893
971,434
972,1372
973,1192
974,1373
975,1535
976,198
977,82
978,3336
979,602
980,3307
981,2395
982,599
983,3206
984,245
985,1819
986,3309
987,310
988,695
989,280
990,33
991,3009
992,2386
993,597
994,2360
995,2354
996,1194
997,2333
998,825
999,1065
1000,1378
1001,1868
1002,684
1003,336
1004,216
1005,1854
1006,1376
1007,801
1008,692
1009,7444
1010,1859
1011,3236
1012,988
1013,2363
1014,3231
1015,979
1016,706
1017,2335
1018,7568
1019,1551
1020,1176
1021,2397
1022,7559
1023,2408
1024,7578
1025,7591
1026,7503
1027,7480
1028,7479
1029,7510
1030,7532
1031,7522
1032,7523
1033,338
1034,7544
1035,7447
1036,7521
1037,7477
1038,384
1039,7575
1040,3516
1041,7423
1042,7485
1043,759
1044,946
1045,7585
1046,7563
1047,3133
1048,7433
1049,7516
1050,7457
1051,314
1052,7514
1053,138
1054,1069
1055,809
1056,1057
1057,1395
1058,1371
1059,41
1060,1546
1061,524
1062,1350
1063,1571
1064,1185
1065,1566
1066,549
1067,1064
1068,431
1069,2326
1070,278
1071,728
1072,1541
1073,1461
1074,7415
1075,458
1076,3365
1077,1157
1078,1374
1079,1865
1080,3305
1081,2384
1082,7420
1083,2371
1084,526
1085,3229
1086,3222
1087,3192
1088,3176
1089,3155
1090,1254
1091,3158
1092,1179
1093,1178
1094,1055
1095,522
1096,1152
1097,1830
1098,3112
1099,3096
1100,3066
1101,3092
1102,7551
1103,1346
1104,149
1105,2292
1106,1776
1107,642
1108,7528
1109,1450
1110,408
1111,7554
1112,7587
1113,429
1114,956
1115,1151
1116,640
1117,1153
1118,1499
1119,878
1120,1782
1121,7565
1122,98
1123,1768
1124,1310
1125,417
1126,645
1127,371
1128,7562
1129,2307
1130,1171
1131,882
1132,750
1133,696
1134,506
1135,1308
1136,2211
1137,484
1138,1287
1139,1495
1140,2192
1141,497
1142,2361
1143,3378
1144,3351
1145,2381
1146,980
1147,6369
1148,253
1149,3177
1150,3145
1151,1649
1152,3002
1153,2302
1154,2301
1155,110
1156,3052
1157,221
1158,699
1159,3019
1160,1046
1161,3011
1162,1162
1163,204
1164,1516
1165,743
1166,2987
1167,1033
1168,2981
1169,1784
1170,362
1171,407
1172,319
1173,1757
1174,1317
1175,1325
1176,348
1177,2210
1178,2923
1179,2209
1180,2922
1181,452
1182,2869
1183,2889
1184,687
1185,2142
1186,2866
1187,1731
1188,7540
1189,7501
1190,7588
1191,7442
1192,7567
1193,7504
1194,7398
1195,7507
1196,7558
1197,7602
1198,7574
1199,7594
1200,7586
1201,7590
1202,7484
1203,7513
1204,7506
1205,7417
1206,7505
1207,7483
1208,7535
1209,7600
1210,7566
1211,600
1212,500
1213,1896
1214,1578
1215,1518
1216,869
1217,3400
1218,2344
1219,528
1220,128
1221,2389
1222,983
1223,981
1224,694
1225,1556
1226,3159
1227,2330
1228,3131
1229,3116
1230,1343
1231,3028
1232,451
1233,3018
1234,962
1235,2253
1236,1788
1237,2921
1238,1041
1239,1159
1240,1298
1241,166
1242,487
1243,961
1244,2955
1245,2172
1246,201
1247,284
1248,157
1249,372
1250,707
1251,225
1252,3369
1253,393
1254,591
1255,547
1256,739
1257,592
1258,457
1259,1794
1260,812
1261,317
1262,147
1263,360
1264,585
1265,427
1266,7352
1267,7362
1268,7361
1269,7359
1270,7360
1271,7358
1272,7496
1273,7382
1274,7357
1275,7354
1276,7356
1277,7355
1278,7353
1279,7489
1280,7487
1281,7495
1282,7494
1283,7493
1284,7492
1285,7491
1286,7490
1287,7486
1288,7488
1289,7351
1290,7350
1291,1883
1292,2821
1293,3129
1294,4017
1295,593
1296,130
1297,78
1298,2031
1299,7328
1300,758
1301,229
1302,780
1303,1104
1304,5446
1305,4934
1306,665
1307,7345
1308,1584
1309,6792
1310,527
1311,7347
1312,7381
1313,7408
1314,7475
1315,7474
1316,7543
1317,7542
1318,7470
1319,7459
1320,7472
1321,7471
1322,7435
1323,7412
1324,7597
1325,977
1326,176
1327,267
1328,60
1329,518
1330,234
1331,854
1332,1725
1333,546
1334,443
1335,943
1336,513
1337,1478
1338,1470
1339,1721
1340,1048
1341,329
1342,2992
1343,1163
1344,548
1345,589
1346,316
1347,2139
1348,2819
1349,2141
1350,1484
1351,2479
1352,7388
1353,2727
1354,1734
1355,1286
1356,2145
1357,1023
1358,2781
1359,2777
1360,315
1361,2128
1362,2124
1363,2770
1364,467
1365,1726
1366,622
1367,1714
1368,2760
1369,2122
1370,7518
1371,1292
1372,409
1373,1472
1374,7387
1375,7601
1376,7334
1377,7537
1378,7534
1379,7564
1380,970
1381,334
1382,1044
1383,277
1384,187
1385,935
1386,1797
1387,2250
1388,1040
1389,686
1390,1772
1391,1150
1392,2190
1393,102
1394,1424
1395,1018
1396,482
1397,413
1398,1673
1399,1562
1400,975
1401,3135
1402,73
1403,3122
1404,967
1405,1111
1406,1031
1407,3014
1408,2986
1409,614
1410,456
1411,1137
1412,1327
1413,2957
1414,741
1415,941
1416,2215
1417,1324
1418,2204
1419,1762
1420,639
1421,1146
1422,2787
1423,2188
1424,69
1425,2179
1426,1307
1427,2778
1428,914
1429,48
1430,1078
1431,383
1432,2582
1433,1981
1434,2558
1435,226
1436,1992
1437,1430
1438,478
1439,1988
1440,1967
1441,2519
1442,719
1443,7438
1444,569
1445,327
1446,7399
1447,171
1448,398
1449,762
1450,3345
1451,1887
1452,7446
1453,1871
1454,3269
1455,7434
1456,3224
1457,2356
1458,966
1459,2257
1460,488
1461,1512
1462,1775
1463,552
1464,1508
1465,2918
1466,2915
1467,550
1468,949
1469,1755
1470,1145
1471,1754
1472,1311
1473,2865
1474,2180
1475,1748
1476,1030
1477,799
1478,2168
1479,2791
1480,942
1481,735
1482,870
1483,1716
1484,1697
1485,732
1486,1116
1487,79
1488,6878
1489,7445
1490,7538
1491,680
1492,183
1493,7593
1494,7499
1495,7573
1496,7592
1497,4910
1498,651
1499,751
1500,1577
1501,627
1502,904
1503,375
1504,1586
1505,898
1506,104
1507,1210
1508,3354
1509,321
1510,3366
1511,530
1512,376
1513,2396
1514,1873
1515,397
1516,3297
1517,1553
1518,3293
1519,822
1520,3281
1521,1861
1522,3234
1523,1187
1524,3232
1525,127
1526,659
1527,1394
1528,884
1529,1052
1530,1050
1531,1168
1532,965
1533,1534
1534,1529
1535,1817
1536,1533
1537,1810
1538,1532
1539,1172
1540,2288
1541,2277
1542,2283
1543,2284
1544,1049
1545,2275
1546,2243
1547,428
1548,881
1549,7580
1550,1759
1551,3370
1552,2355
1553,3241
1554,3180
1555,1332
1556,1182
1557,1831
1558,3144
1559,2320
1560,1828
1561,3119
1562,1808
1563,1351
1564,3089
1565,1537
1566,5389
1567,3075
1568,1813
1569,3045
1570,1807
1571,2278
1572,3076
1573,3073
1574,2270
1575,952
1576,3072
1577,2279
1578,1812
1579,3060
1580,3061
1581,3047
1582,3056
1583,3054
1584,3051
1585,3050
1586,1335
1587,3046
1588,2268
1589,1531
1590,2267
1591,2266
1592,3041
1593,3039
1594,1528
1595,3037
1596,3036
1597,3038
1598,1767
1599,7403
1600,1497
1601,7397
1602,430
1603,7549
1604,7478
1605,7429
1606,392
1607,50
1608,1730
1609,1481
1610,1290
1611,1289
1612,588
1613,1333
1614,1158
1615,1027
1616,2825
1617,2818
1618,2157
1619,2148
1620,542
1621,1293
1622,4057
1623,2813
1624,2812
1625,1256
1626,2146
1627,2804
1628,945
1629,2138
1630,939
1631,2796
1632,2134
1633,2135
1634,352
1635,94
1636,233
1637,86
1638,64
1639,953
1640,114
1641,192
1642,605
1643,337
1644,498
1645,1894
1646,1386
1647,2436
1648,897
1649,1202
1650,766
1651,1074
1652,1596
1653,281
1654,558
1655,230
1656,3451
1657,2437
1658,3443
1659,3448
1660,1396
1661,3447
1662,2287
1663,7325
1664,2434
1665,2433
1666,3442
1667,3382
1668,3439
1669,2432
1670,1075
1671,1390
1672,1599
1673,1906
1674,3438
1675,2422
1676,604
1677,906
1678,2431
1679,902
1680,1905
1681,3437
1682,653
1683,3434
1684,7310
1685,3433
1686,269
1687,2289
1688,1134
1689,698
1690,438
1691,3410
1692,3430
1693,3431
1694,1208
1695,1904
1696,3427
1697,2428
1698,1903
1699,6921
1700,3091
1701,3286
1702,7369
1703,764
1704,905
1705,2312
1706,1393
1707,2426
1708,3407
1709,2293
1710,1205
1711,7161
1712,984
1713,186
1714,832
1715,2417
1716,2633
1717,1895
1718,900
1719,1070
1720,1387
1721,1385
1722,2828
1723,279
1724,824
1725,1891
1726,3120
1727,354
1728,1471
1729,853
1730,682
1731,7335
1732,7330
1733,7321
1734,3372
1735,7312
1736,3428
1737,400
1738,7368
1739,7366
1740,7560
1741,7393
1742,55
1743,80
1744,1249
1745,374
1746,369
1747,7379
1748,1921
1749,134
1750,101
1751,779
1752,442
1753,993
1754,655
1755,1407
1756,1664
1757,565
1758,470
1759,2003
1760,1983
1761,1640
1762,1925
1763,3194
1764,2340
1765,2954
1766,2206
1767,2950
1768,2944
1769,2077
1770,2930
1771,1427
1772,1326
1773,926
1774,406
1775,2565
1776,2556
1777,850
1778,537
1779,1093
1780,298
1781,1610
1782,1083
1783,1917
1784,607
1785,2445
1786,1914
1787,1212
1788,1910
1789,1300
1790,1735
1791,544
1792,1305
1793,1746
1794,1304
1795,2125
1796,344
1797,934
1798,5140
1799,1490
1800,1489
1801,2143
1802,1732
1803,2797
1804,212
1805,2738
1806,660
1807,580
1808,516
1809,7410
1810,243
1811,294
1812,860
1813,1170
1814,220
1815,1306
1816,690
1817,872
1818,868
1819,1564
1820,1800
1821,1130
1822,729
1823,1703
1824,1164
1825,2228
1826,2200
1827,7372
1828,2091
1829,1271
1830,2693
1831,2086
1832,866
1833,1526
1834,3053
1835,2247
1836,954
1837,2961
1838,2199
1839,2803
1840,2690
1841,2118
1842,2758
1843,2097
1844,630
1845,1477
1846,2106
1847,2710
1848,708
1849,1368
1850,141
1851,1370
1852,3373
1853,1199
1854,3364
1855,1882
1856,7391
1857,894
1858,1581
1859,666
1860,332
1861,551
1862,2388
1863,3185
1864,1042
1865,730
1866,1301
1867,892
1868,1771
1869,1269
1870,7547
1871,916
1872,738
1873,1297
1874,700
1875,2759
1876,1986
1877,28
1878,579
1879,1004
1880,669
1881,2520
1882,2486
1883,235
1884,1113
1885,342
1886,210
1887,2317
1888,2239
1889,802
1890,685
1891,851
1892,1132
1893,2651
1894,2310
1895,2255
1896,940
1897,1744
1898,2171
1899,2745
1900,1258
1901,2159
1902,2817
1903,1138
1904,1638
1905,933
1906,2773
1907,1278
1908,2638
1909,2079
1910,539
1911,7579
1912,7555
1913,129
1914,844
1915,1131
1916,389
1917,293
1918,770
1919,843
1920,713
1921,847
1922,1400
1923,1401
1924,1613
1925,1082
1926,167
1927,845
1928,908
1929,1911
1930,1226
1931,440
1932,2443
1933,2447
1934,1402
1935,1080
1936,2441
1937,1601
1938,2438
1939,1919
1940,308
1941,494
1942,3147
1943,143
1944,643
1945,485
1946,7548
1947,1165
1948,1787
1949,663
1950,1792
1951,3082
1952,3071
1953,813
1954,3043
1955,7553
1956,1155
1957,693
1958,2980
1959,1764
1960,2196
1961,1032
1962,1294
1963,3304
1964,1876
1965,2372
1966,2650
1967,760
1968,1568
1969,1035
1970,1501
1971,505
1972,1711
1973,132
1974,1021
1975,816
1976,2418
1977,195
1978,1455
1979,1674
1980,1255
1981,670
1982,275
1983,2028
1984,2022
1985,2064
1986,931
1987,857
1988,2602
1989,2604
1990,1449
1991,2029
1992,675
1993,2585
1994,514
1995,7394
1996,726
1997,1007
1998,7561
1999,2385
2000,1188
2001,496
2002,3264
2003,7426
2004,960
2005,1149
2006,2256
2007,689
2008,3191
2009,3164
2010,1552
2011,1540
2012,3100
2013,3080
2014,1513
2015,2970
2016,2972
2017,1517
2018,7421
2019,1103
2020,285
2021,5533
2022,7517
2023,7536
2024,1569
2025,2977
2026,566
2027,1506
2028,2365
2029,3312
2030,307
2031,2244
2032,1774
2033,7411
2034,2132
2035,629
2036,1280
2037,540
2038,2968
2039,3322
2040,1191
2041,1833
2042,1349
2043,7428
2044,1166
2045,553
2046,2932
2047,1766
2048,2878
2049,1314
2050,635
2051,1144
2052,2150
2053,2809
2054,1476
2055,2105
2056,2007
2057,2596
2058,2369
2059,2414
2060,1863
2061,3362
2062,490
2063,1381
2064,1352
2065,2350
2066,3441
2067,7384
2068,2379
2069,3368
2070,2377
2071,3187
2072,2374
2073,1067
2074,1173
2075,1019
2076,297
2077,657
2078,601
2079,610
2080,1926
2081,990
2082,1076
2083,1399
2084,7371
2085,7448
2086,947
2087,742
2088,618
2089,7392
2090,2313
2091,1047
2092,2232
2093,2162
2094,2399
2095,3310
2096,3108
2097,3044
2098,1728
2099,2967
2100,2577
2101,2914
2102,2906
2103,2853
2104,1141
2105,793
2106,2841
2107,2840
2108,2807
2109,7454
2110,7456
2111,785
2112,784
2113,240
2114,515
2115,2070
2116,924
2117,2016
2118,2873
2119,2111
2120,1276
2121,1125
2122,2630
2123,1001
2124,7533
2125,792
2126,1224
2127,1214
2128,2891
2129,2314
2130,3033
2131,2919
2132,2140
2133,1243
2134,2126
2135,1279
2136,1718
2137,1717
2138,2531
2139,606
2140,717
2141,1077
2142,1600
2143,989
2144,932
2145,2155
2146,2241
2147,7526
2148,863
2149,715
2150,992
2151,1618
2152,1899
2153,246
2154,2078
2155,1795
2156,1779
2157,1783
2158,1778
2159,2936
2160,1328
2161,5392
2162,7378
2163,7598
2164,7599
2165,7584
2166,1429
2167,445
2168,1729
2169,803
2170,476
2171,340
2172,404
2173,865
2174,920
2175,2541
2176,1106
2177,2502
2178,1623
2179,1943
2180,1947
2181,533
2182,1933
2183,1404
2184,1928
2185,7395
2186,7520
2187,7571
2188,7576
2189,1827
2190,1801
2191,2303
2192,1805
2193,3308
2194,3303
2195,3174
2196,3178
2197,2718
2198,3102
2199,2258
2200,3065
2201,1530
2202,3063
2203,2272
2204,3032
2205,1803
2206,3015
2207,2116
2208,2114
2209,1094
2210,1235
2211,2741
2212,1920
2213,2734
2214,1473
2215,2677
2216,475
2217,568
2218,169
2219,1420
2220,7402
2221,7511
2222,1874
2223,7436
2224,830
2225,3289
2226,1756
2227,912
2228,721
2229,1948
2230,2883
2231,2880
2232,875
2233,2182
2234,1751
2235,1667
2236,778
2237,576
2238,1975
2239,1241
2240,1974
2241,1417
2242,1236
2243,1932
2244,1020
2245,2133
2246,1809
2247,7389
2248,2887
2249,2879
2250,1140
2251,2151
2252,2802
2253,2798
2254,2195
2255,2902
2256,2893
2257,2896
2258,2886
2259,634
2260,3417
2261,1959
2262,7545
2263,7463
2264,7443
2265,368
2266,2557
2267,328
2268,283
2269,1319
2270,688
2271,1763
2272,232
2273,385
2274,349
2275,2220
2276,2237
2277,1946
2278,2943
2279,390
2280,2872
2281,2854
2282,1454
2283,1567
2284,421
2285,2337
2286,1539
2287,3166
2288,3107
2289,1135
2290,1480
2291,1719
2292,2160
2293,1733
2294,1689
2295,2137
2296,2120
2297,2107
2298,252
2299,1963
2300,2656
2301,2766
2302,2098
2303,2576
2304,2508
2305,357
2306,2637
2307,2552
2308,2595
2309,1657
2310,704
2311,1383
2312,1582
2313,2403
2314,1190
2315,3411
2316,3392
2317,2419
2318,1893
2319,3352
2320,3361
2321,3348
2322,3344
2323,3226
2324,1544
2325,3218
2326,7349
2327,7422
2328,7531
2329,3270
2330,2362
2331,2364
2332,740
2333,1773
2334,673
2335,1504
2336,2184
2337,972
2338,2366
2339,2398
2340,3196
2341,1851
2342,705
2343,3186
2344,3161
2345,3150
2346,3126
2347,3123
2348,3130
2349,3081
2350,3104
2351,3098
2352,3093
2353,3085
2354,1814
2355,3077
2356,1781
2357,899
2358,2483
2359,1095
2360,2453
2361,3406
2362,2429
2363,2430
2364,3409
2365,2416
2366,520
2367,1554
2368,1200
2369,7365
2370,1939
2371,2018
2372,2682
2373,2071
2374,1460
2375,1662
2376,2544
2377,1984
2378,7572
2379,7570
2380,1242
2381,2851
2382,2856
2383,2594
2384,1646
2385,746
2386,615
2387,422
2388,453
2389,2800
2390,814
2391,1364
2392,1866
2393,2262
2394,3121
2395,3099
2396,2297
2397,3029
2398,1804
2399,1105
2400,3024
2401,1780
2402,800
2403,1758
2404,2874
2405,1752
2406,2183
2407,2863
2408,2861
2409,2850
2410,2847
2411,2169
2412,2153
2413,1485
2414,2121
2415,2175
2416,968
2417,745
2418,1791
2419,486
2420,2234
2421,2969
2422,2223
2423,324
2424,3347
2425,1838
2426,2761
2427,2762
2428,447
2429,2449
2430,463
2431,3346
2432,3342
2433,7464
2434,1017
2435,1263
2436,1259
2437,1448
2438,1648
2439,1620
2440,1605
2441,1100
2442,775
2443,303
2444,2685
2445,1684
2446,2696
2447,1011
2448,339
2449,2626
2450,2046
2451,619
2452,678
2453,480
2454,2037
2455,911
2456,1941
2457,938
2458,2667
2459,403
2460,1440
2461,1118
2462,1133
2463,1428
2464,2051
2465,511
2466,1511
2467,1022
2468,2739
2469,2083
2470,1705
2471,1704
2472,2688
2473,2683
2474,2654
2475,2678
2476,2672
2477,2675
2478,1700
2479,2670
2480,2749
2481,1660
2482,2723
2483,2104
2484,2068
2485,2099
2486,405
2487,2706
2488,2708
2489,2530
2490,2101
2491,1273
2492,1468
2493,2087
2494,2092
2495,2694
2496,1120
2497,624
2498,598
2499,555
2500,2991
2501,184
2502,2925
2503,3331
2504,3250
2505,3244
2506,2357
2507,3416
2508,3360
2509,3343
2510,2960
2511,450
2512,909
2513,1423
2514,1616
2515,1628
2516,2481
2517,1619
2518,3415
2519,399
2520,2373
2521,2951
2522,3440
2523,3444
2524,1204
2525,3395
2526,3393
2527,1593
2528,7386
2529,3383
2530,2080
2531,1045
2532,3318
2533,1884
2534,3306
2535,1880
2536,7473
2537,461
2538,1201
2539,3235
2540,1405
2541,7404
2542,7419
2543,2269
2544,2096
2545,1690
2546,2628
2547,2625
2548,2623
2549,1453
2550,254
2551,2043
2552,7439
2553,2038
2554,441
2555,1084
2556,1665
2557,7424
2558,7546
2559,1053
2560,648
2561,1425
2562,3208
2563,1821
2564,1323
2565,2985
2566,3412
2567,3284
2568,3171
2569,7342
2570,7515
2571,7469
2572,7468
2573,1829
2574,2410
2575,3403
2576,464
2577,1889
2578,2953
2579,3302
2580,3246
2581,2358
2582,3179
2583,2304
2584,7497
2585,7339
2586,7581
2587,3425
2588,3404
2589,3387
2590,3379
2591,2412
2592,2411
2593,499
2594,273
2595,1706
2596,925
2597,1488
2598,919
2599,7451
2600,1272
2601,1597
2602,2624
2603,2019
2604,1658
2605,1993
2606,444
2607,2455
2608,2473
2609,827
2610,1694
2611,2720
2612,2490
2613,1005
2614,1434
2615,1244
2616,1247
2617,1013
2618,1990
2619,856
2620,7329
2621,2229
2622,1879
2623,3445
2624,1397
2625,1388
2626,378
2627,3353
2628,1915
2629,2041
2630,1058
2631,1777
2632,1743
2633,1099
2634,2663
2635,2842
2636,1683
2637,2005
2638,2610
2639,1951
2640,7524
2641,1431
2642,722
