user,grau
1465,3
2742,1
2117,2
1720,3
90,53
2731,1
1457,4
2725,1
2109,3
543,5
2102,2
712,6
231,13
2687,1
1708,3
1129,6
76,31
2065,3
1251,4
1248,5
725,10
2559,1
507,17
1942,2
1232,5
534,11
994,10
503,8
2448,1
846,3
1028,0
2367,0
2296,0
379,12
3421,0
3418,0
3402,0
3385,0
3367,0
3349,0
545,11
1589,2
3339,0
2402,1
3335,0
3317,0
1862,1
3313,0
3295,0
2383,1
1195,4
3283,0
2375,1
292,21
3256,0
3259,0
3253,1
3247,0
2368,0
1574,3
3215,0
3202,0
2351,1
3163,0
2338,1
1521,1
3148,0
3124,0
3113,0
3013,0
1826,2
3103,0
1822,2
3101,0
3083,0
3084,0
3078,0
3062,0
3059,0
2273,0
3048,0
523,9
373,15
1331,3
3004,0
3006,0
810,1
3000,0
2999,0
2989,0
1337,3
2941,0
2947,0
2945,0
2926,0
2217,1
1505,2
2920,0
2782,0
2904,0
2898,0
2198,1
2881,0
2185,1
2858,0
1749,2
2837,0
517,5
2163,1
2830,0
2632,0
796,6
2810,0
2144,1
2136,1
2793,0
2786,0
2783,0
2775,0
2772,0
2771,0
2767,0
2764,0
2763,0
2752,0
2750,0
2747,0
2119,1
2744,0
2743,0
2707,0
2713,0
2700,0
1413,3
2695,0
2619,0
2605,0
1117,4
300,12
7348,0
7425,0
7557,0
7589,4
1368,6
164,21
244,30
62,43
2244,7
148,29
7403,6
52,62
159,30
66,40
60,22
585,17
97,45
2006,1
1421,3
353,18
51,77
185,31
312,12
168,21
354,7
108,34
91,24
40,84
271,6
119,20
54,41
375,30
177,202
31,53
47,45
23,62
74,17
165,17
306,17
8,259
242,14
412,21
381,6
561,8
216,19
107,31
681,12
79,69
272,44
39,53
150,47
181,26
109,43
2404,1
24,104
19,103
7,212
348,18
473,11
1921,10
99,33
1380,9
73,60
85,97
189,13
787,8
133,38
1709,3
658,5
293,18
768,11
45,74
471,1
1632,2
281,29
269,25
2336,81
206,26
241,20
190,46
7577,8
798,73
211,31
140,33
217,27
182,26
236,18
777,13
1098,6
106,50
237,21
1401,6
1409,4
769,5
1209,3
917,5
114,49
2698,1
1127,6
1009,6
1386,9
173,43
43,98
647,17
5,174
1156,6
553,21
170,23
93,45
145,72
1523,5
350,22
77,47
1785,4
166,56
489,6
25,109
83,42
277,25
70,57
1487,5
270,11
871,8
389,25
544,11
2631,2
672,4
137,30
424,15
65,56
1693,3
475,9
449,12
1998,2
1977,2
915,8
63,40
1957,3
1635,3
508,9
2499,1
2497,1
299,16
1225,1
238,17
2488,1
1936,2
382,16
355,12
1090,4
1222,5
21,91
564,9
2459,1
774,8
209,15
1922,2
504,7
987,2
2446,1
986,6
1603,6
446,5
436,4
512,8
767,0
469,0
188,46
257,11
7400,4
263,8
562,5
1691,26
14,93
13,125
139,24
318,14
862,4
251,14
111,26
16,120
5342,80
3,243
219,25
268,0
2839,0
1929,1
420,1
532,5
7401,0
200,4
402,15
7508,1
7552,13
7500,1
7482,2
7583,2
971,3
92,51
7336,3
1545,1
103,42
207,20
6,148
7380,7
287,19
754,13
26,133
34,70
525,6
56,34
1849,1
557,9
208,15
1558,2
2346,1
974,5
262,13
2001,3
815,11
120,27
492,9
1175,4
32,74
172,32
1347,3
1338,1
105,41
818,5
890,7
1362,2
1547,1
1056,4
2280,2
879,5
36,79
590,4
3260,1
1174,2
3198,1
460,13
3200,1
589,8
433,12
81,39
7509,4
973,3
1555,2
3154,1
7595,53
1361,3
2331,2
509,12
969,7
197,35
621,7
1036,4
1054,4
1818,1
358,11
748,17
88,56
163,30
1576,1
2353,1
3221,1
136,37
1367,5
7512,13
757,10
49,65
646,3
2328,3
1360,4
7377,3
2321,1
125,68
1548,2
1837,3
1834,2
703,10
1456,8
7406,3
1832,2
3105,1
641,18
320,16
885,10
632,12
2300,1
702,9
228,19
752,9
2291,1
656,13
877,6
2293,9
650,11
3328,1
720,12
1379,7
3275,1
345,14
336,14
295,23
1375,3
435,14
7390,7
12,128
1853,3
1184,5
1064,7
1560,4
988,8
203,28
976,4
289,19
7394,10
3203,1
1844,3
2053,2
1363,4
3181,1
288,34
2263,2
3132,1
1059,8
2332,2
691,3
1550,3
286,17
205,30
1359,2
1459,4
135,32
7432,2
1815,3
3127,1
1836,2
266,19
2311,2
2308,2
27,63
755,2
2306,1
5679,7
1790,2
937,17
100,31
53,38
2298,2
3087,1
1274,4
227,20
1348,5
2295,1
394,5
3043,2
2285,2
1536,5
883,7
199,33
2290,1
1816,2
1524,4
1169,3
749,3
876,18
33,136
1824,0
7525,9
638,4
162,21
886,3
2903,0
3049,0
7604,21
215,13
479,6
302,10
131,36
859,6
437,12
1398,2
423,8
510,4
224,20
7582,3
311,8
1230,3
1239,2
567,3
466,10
1085,2
771,3
1270,3
1264,3
3774,8
1003,4
367,10
1107,2
661,7
274,11
654,10
910,2
1091,2
84,45
531,12
501,7
583,4
1702,2
3356,1
733,5
356,15
1678,1
1010,4
7596,7
781,4
2017,1
2002,1
572,7
202,25
664,9
1636,3
326,14
341,16
538,2
1233,3
2492,1
536,19
1621,2
1415,3
323,13
1611,4
609,10
366,9
848,6
1602,1
365,12
419,15
841,6
468,7
193,23
2103,2
2405,3
411,16
807,10
1038,7
265,13
2201,2
361,10
1737,3
1139,6
386,11
727,5
1108,3
1642,3
1109,3
918,7
2511,1
570,8
716,16
313,10
718,8
1615,5
1218,2
1086,2
2485,1
7569,4
1088,4
535,12
2467,1
2468,1
2465,1
401,14
772,5
2454,1
773,3
711,4
7550,21
842,6
153,27
2442,1
840,6
2439,1
1908,2
1087,4
1909,2
626,1
7327,2
2024,0
1634,0
380,10
2997,0
521,4
1322,7
2868,0
2740,0
2709,0
603,10
191,26
248,14
372,11
982,5
1372,3
335,6
1192,6
893,4
59,31
904,8
349,7
61,43
826,9
122,35
1872,1
391,14
1068,6
7591,13
82,41
3307,1
3206,2
434,4
597,10
684,8
801,17
1373,2
110,31
7126,1
1535,4
528,8
198,22
3336,1
602,8
2395,3
599,12
245,31
1819,2
3309,1
310,12
695,10
280,22
3009,1
2386,2
484,18
2354,3
1194,5
2333,2
825,8
1378,6
1868,5
1854,2
1376,5
692,3
7444,6
1859,4
3236,1
2363,2
3231,1
2320,3
706,10
2335,2
141,31
7531,5
46,53
2360,1
979,8
7568,3
1551,1
1176,0
2397,2
7559,0
2408,1
7578,2
7503,2
7480,0
7479,1
7510,2
7532,1
7522,1
7523,1
338,4
7544,2
7447,1
7521,4
7477,0
384,10
7575,2
3516,4
7423,1
7485,0
759,19
946,16
7585,6
7563,2
3133,10
7433,2
7516,2
7457,2
314,14
7514,6
3305,1
524,2
809,3
1057,2
1541,4
1371,1
1571,3
1185,4
1566,3
1350,1
549,8
526,17
431,15
1546,2
1461,3
458,7
1374,4
7420,2
2376,3
3222,1
3158,1
2326,1
728,4
278,23
1830,6
7415,2
104,52
1157,5
2384,1
2371,3
1578,3
3176,1
3155,1
1254,4
1179,5
1055,3
7554,5
522,9
1152,4
3112,2
3096,3
3066,1
3092,1
750,5
1346,5
149,30
2292,3
1776,4
7528,2
1450,6
408,21
138,5
1069,1
1395,0
41,0
3365,0
1865,1
3229,1
3192,0
1178,3
7551,4
642,6
7587,5
7517,12
7536,10
1151,1
429,5
956,3
640,6
2211,1
98,37
696,9
878,5
1782,1
1768,1
1310,1
417,14
666,15
980,8
645,16
371,20
7562,8
1171,4
2981,1
506,9
1325,3
2922,1
686,12
1287,4
1495,3
2192,2
2866,2
497,4
2361,2
3378,1
2381,2
614,23
6369,9
253,20
6014,5
3145,2
1649,4
3002,2
2302,2
2301,2
882,6
221,7
7590,6
699,4
3019,2
1046,5
7501,2
3011,1
1162,10
204,18
1516,3
743,6
2987,1
1153,5
1033,5
7588,14
1784,3
362,12
1308,4
7442,3
319,16
1757,3
2210,2
2923,1
2209,2
7565,43
7600,9
452,15
2869,1
2889,1
687,11
7566,3
2142,2
1731,3
2358,4
321,12
7602,13
7601,11
7599,8
7598,12
7594,6
1499,0
2307,0
3351,0
3177,0
3052,0
407,0
1317,2
7540,2
7567,0
7504,3
7398,8
7507,3
7558,4
7574,0
7586,3
7484,0
7513,8
7506,2
7417,2
7505,0
7483,3
7535,3
500,8
1518,5
600,2
2330,3
1343,4
892,5
3018,1
487,18
308,13
7515,1
3159,1
3131,1
3116,1
451,11
962,5
2253,2
2921,1
1159,18
201,14
869,5
157,24
3028,1
981,4
694,8
1556,3
1788,3
1041,7
1298,6
961,5
2955,1
2172,2
284,22
1896,0
3400,0
2344,1
128,36
2389,1
983,5
707,10
225,19
3369,1
393,16
591,10
547,8
739,14
592,9
457,9
1794,4
812,8
317,3
147,9
360,25
427,8
7352,0
7362,0
7361,0
7359,0
7360,0
7358,0
7496,0
7382,0
7357,0
7354,0
7356,0
7355,0
7353,0
7489,0
7487,0
7495,0
7494,0
7493,0
7492,0
7491,0
7490,0
7486,0
7488,0
7351,0
7350,0
1883,4
2821,2
3129,0
4017,1
593,10
130,44
78,53
2031,2
7328,8
758,2
229,16
780,4
1104,5
5446,0
4934,6
665,6
7345,0
1584,1
6792,1
527,2
7347,0
7381,0
7408,0
7475,0
7474,0
7543,0
7542,0
7470,0
7459,0
7472,0
7471,0
7435,2
7412,4
176,23
267,13
1478,3
1163,2
2819,1
1023,3
2777,1
546,4
548,8
2727,2
1734,3
315,19
943,6
854,8
2124,2
513,7
1714,3
2122,2
1048,4
329,14
2992,1
316,15
1484,4
2479,2
2145,2
409,19
2781,1
2770,1
1476,4
2128,2
467,14
7387,2
622,11
1721,2
2760,1
132,31
824,44
7518,9
1743,2
977,0
518,7
234,10
1725,0
443,11
1470,1
2139,3
2141,0
7388,2
1286,0
1726,2
1292,3
1472,5
7334,7
7537,0
7534,0
7564,76
334,8
187,16
2179,3
102,34
975,4
935,5
1797,2
2250,2
1040,4
1424,3
1772,3
2204,2
1150,5
1762,6
2190,1
1018,5
482,11
413,13
1673,2
1562,2
3122,1
1111,5
1031,5
3014,1
2986,1
456,10
1137,6
1327,4
941,10
2957,1
741,6
2215,2
1324,4
2908,6
639,9
1146,4
2787,2
2188,2
69,69
1307,2
2778,1
914,5
48,62
1078,6
383,14
2582,1
1981,2
2558,1
226,34
1992,2
1430,3
1988,2
478,16
1967,2
2519,1
719,4
7438,2
569,5
970,0
1044,1
3135,0
967,8
327,14
7399,0
1513,5
552,6
1116,3
398,17
6878,2
171,8
1030,4
799,7
2802,2
942,6
762,11
3345,1
1887,2
1190,6
894,7
494,10
3269,2
2356,2
966,6
7538,3
2257,4
488,8
1512,1
1775,2
1508,4
1767,3
2915,1
550,11
7593,2
949,10
1755,3
1145,5
1754,3
1311,1
2865,1
634,7
2168,2
735,8
870,6
1716,4
1697,4
732,7
7446,0
1871,2
7434,2
3224,0
2918,0
2180,1
1748,0
2791,0
7445,2
680,12
183,23
7499,4
7573,2
7592,3
4910,0
651,10
1586,5
751,7
1577,3
627,9
898,3
1210,8
3354,1
3366,1
496,8
530,12
376,20
2396,3
1873,4
7391,3
397,15
3297,1
1553,3
3293,1
822,8
3281,1
1861,2
3234,1
1187,6
3232,1
3060,1
7337,3
1050,3
1052,3
3119,1
5389,5
2275,1
1168,2
1534,1
1529,1
965,3
1817,1
3075,1
2277,1
2284,2
1172,2
1528,3
7397,7
1813,3
2283,1
2270,2
1533,2
279,23
1531,3
3241,1
1332,4
3180,2
1182,4
1831,3
3144,1
1828,3
1808,4
884,4
1351,8
3089,1
1537,4
3045,1
1807,3
2278,3
3076,1
3073,1
952,3
3072,1
1810,1
3061,1
3047,1
3056,1
2243,1
3054,1
1532,4
3051,1
3050,1
1335,4
3046,1
2268,2
881,5
2267,2
2266,1
3041,2
3039,1
3037,1
3036,1
3038,1
5533,6
127,1
659,1
1394,0
2288,0
1049,1
428,3
7580,2
1759,1
3370,0
2355,1
2279,1
1497,2
7549,0
7478,0
7429,1
392,12
1027,3
1289,4
1481,2
588,10
693,11
689,8
1730,2
1333,3
1158,3
2825,1
50,45
2818,1
2157,2
2148,2
542,13
1293,3
1256,4
2146,3
2804,1
945,8
2138,1
939,8
2796,1
2135,2
4057,0
2813,0
2812,0
2134,0
7335,17
352,2
64,37
246,18
86,40
233,12
953,7
605,10
192,27
3447,1
766,9
1074,16
558,1
1596,4
1894,2
498,17
698,3
2436,4
1396,1
3410,3
7161,1
378,8
984,4
180,10
186,12
499,5
832,9
900,9
2289,2
1134,10
2434,2
906,17
1906,3
905,3
2426,2
1895,5
374,11
2417,8
7087,10
3372,6
7063,1
94,24
3120,2
438,11
1471,4
853,7
682,12
7386,14
337,10
897,2
1202,6
230,8
3451,1
2437,0
3443,0
3448,0
2287,1
7325,0
2433,0
3442,0
3382,0
3439,0
2432,0
1075,0
1390,0
1599,0
3438,0
2422,0
604,4
2431,0
902,2
1905,0
3437,0
653,0
3434,0
7310,0
3433,0
3430,0
3431,0
1208,1
1904,0
3427,0
2428,0
1903,0
6921,0
3091,0
3286,1
7369,1
764,0
2312,0
1393,3
3407,0
1205,0
2633,0
1070,0
1387,3
1385,0
2828,1
1891,0
7330,0
7321,0
7312,0
3428,4
400,4
7368,0
7366,0
7560,7
7393,0
55,27
80,27
1249,9
369,9
7379,0
2445,1
779,4
442,15
993,4
655,8
1664,1
565,5
470,3
101,16
2003,1
1983,1
1640,2
1925,1
3194,1
2340,2
2954,1
2206,2
2950,1
2944,1
2930,1
1326,4
926,9
2565,1
2556,1
850,9
537,8
1093,2
298,12
1610,1
1083,7
1917,2
1914,3
1212,4
1910,1
134,11
1407,0
2077,1
1427,4
406,17
607,4
1300,2
1746,2
1735,1
2125,1
212,17
1304,3
344,8
660,10
934,6
5140,1
1305,3
1490,3
1489,3
2143,2
1732,3
2738,1
2105,2
1989,3
580,9
516,11
2797,0
243,7
872,3
1170,2
860,2
1306,1
220,9
690,6
868,2
1130,5
2199,2
1800,1
2228,1
866,9
1703,3
1564,2
1526,3
1164,5
2200,1
2803,1
7372,8
630,6
2091,2
1271,3
2693,1
729,10
2086,2
3053,1
954,10
2961,1
2690,1
2118,3
2758,1
2097,2
1477,4
2106,2
2710,1
294,2
2247,0
708,24
3364,1
1370,5
1199,4
1882,3
551,4
1581,3
2388,2
3185,1
3373,0
332,20
1042,1
730,5
1771,1
7547,2
1269,5
1301,1
738,7
700,9
2759,1
254,22
579,5
1004,6
669,8
2520,1
2486,1
235,11
916,3
1297,1
1986,0
28,44
210,12
1638,14
2317,2
2239,1
851,9
1132,5
2310,2
7555,2
2171,2
1258,4
685,4
2159,1
2817,1
933,5
2773,1
1278,4
2638,1
2079,2
539,5
7579,4
1113,1
342,8
802,2
2651,0
2255,1
940,4
1744,0
2745,0
1138,0
1082,1
440,5
1416,1
129,93
844,5
932,3
1422,1
770,3
1220,3
1613,2
713,5
167,27
847,2
1400,2
845,3
908,2
1911,1
1226,4
2443,2
2447,1
1402,4
1080,1
1601,3
2438,1
1131,2
843,0
2441,0
1919,1
485,10
3147,1
143,25
643,8
7548,1
1165,3
1787,1
663,10
1792,3
3082,1
813,15
7553,9
2980,1
1764,3
2196,2
1032,6
3071,0
1155,0
6257,1
1294,2
3304,1
1876,2
2372,2
2650,1
1568,5
7443,4
1946,3
505,13
1711,3
1021,5
760,1
1035,2
1501,2
816,0
6736,1
2387,3
2418,2
6667,1
6317,1
3074,1
6290,1
6131,1
3166,2
195,9
726,4
1455,2
2602,1
1674,2
275,11
2028,1
2022,1
7561,4
1255,2
671,8
2064,2
677,7
322,10
1120,6
2620,1
931,5
857,7
670,5
1237,4
2604,1
1449,4
2029,2
675,5
2585,1
514,10
1007,3
2385,1
1188,3
3264,1
7426,2
960,8
1149,6
1517,6
2256,1
3191,1
3164,1
1552,2
1540,3
3100,1
3080,1
2970,1
2972,2
7421,1
1103,5
285,14
1569,3
2977,1
566,8
1506,3
2365,1
3312,1
307,7
1774,3
7411,3
2132,1
2878,1
1144,5
629,9
1280,4
2968,1
1191,6
1833,3
7428,3
1166,5
2932,2
1314,5
635,9
2150,2
2809,1
2007,2
2596,1
540,10
404,19
3322,0
1349,4
1766,2
2414,1
2369,8
1863,2
1352,3
3362,1
490,12
1381,3
2350,2
2807,1
800,6
232,14
598,10
2208,2
1597,5
6434,1
2223,3
486,5
1689,3
4888,1
3999,1
2561,2
1658,4
3441,0
7384,0
2379,1
1067,2
3368,1
2374,2
3187,1
2377,2
1173,5
657,8
297,9
610,7
990,5
1076,2
7371,6
1399,2
1926,2
1019,0
601,3
7448,0
1047,2
947,3
742,3
2914,1
2906,1
2399,2
3108,1
2967,1
2577,2
1141,2
793,5
2841,1
2840,1
2162,1
7456,1
618,1
7392,0
2313,0
2232,0
3310,0
3044,0
1728,1
7454,0
2111,2
2070,1
7533,2
784,8
785,10
515,5
2016,1
240,9
1276,6
1125,2
2630,1
1001,7
924,0
2873,0
1243,4
792,13
2891,1
3033,1
2140,1
2126,2
1279,3
1718,4
1717,2
1628,5
2531,1
717,6
1077,4
1600,2
989,1
1224,3
1214,1
2314,1
2919,0
606,2
5415,1
2979,2
7526,2
863,16
992,5
2155,3
2241,2
2579,2
912,6
715,12
1618,3
1795,3
1791,2
1779,3
1783,3
1778,2
2936,1
1328,7
1899,0
2078,0
5392,1
7378,0
7584,4
608,6
445,6
1729,1
803,6
476,10
1429,1
662,3
340,13
2541,1
865,7
920,7
1106,6
2502,1
1947,2
533,3
1404,4
1928,2
1623,2
1943,0
1933,0
7395,0
7520,5
7571,4
7576,2
3015,1
3035,4
1801,1
1827,2
2258,2
1530,3
1805,2
3178,3
2718,1
3102,2
2303,1
3063,1
2272,2
3032,1
1803,2
3308,0
3303,0
3174,0
3065,0
2116,1
169,24
2114,1
1235,8
2741,1
1920,2
2734,1
1473,4
2677,1
568,13
7402,4
7511,3
1094,2
1420,1
830,6
3289,1
1874,0
7436,1
1241,7
633,4
875,2
721,6
1428,4
1948,1
2883,1
2880,1
1140,6
1667,2
778,6
576,4
403,21
1975,2
1974,2
1417,4
1236,4
1932,2
1756,0
2182,1
1751,0
1020,5
1809,2
2887,1
2879,1
2151,1
2798,1
2133,0
7389,4
2902,1
2893,1
2195,1
2886,1
2896,0
464,7
2380,7
3417,0
1959,1
7545,0
7463,0
368,9
2557,1
328,21
2995,2
283,10
673,9
144,21
688,3
1189,4
390,8
1454,2
2237,2
2943,1
2872,1
2854,1
1319,0
1763,0
385,6
2220,0
3107,1
1567,1
2337,1
1539,2
421,3
1480,1
2160,1
1733,2
2120,1
1719,1
2098,2
252,24
2656,1
2137,1
2107,1
2576,1
2508,1
357,12
2637,1
2595,1
1963,2
1657,3
1135,1
2766,0
704,7
2403,1
1383,3
1582,3
1893,3
3352,1
3361,1
3348,1
3344,1
3226,1
1544,6
3218,1
648,5
3411,0
2419,0
7349,0
7422,1
3270,2
2362,2
2364,2
740,5
1773,1
1504,1
2184,1
3093,1
3081,1
1614,2
2398,4
3196,1
2366,1
3161,1
3150,1
3126,1
3123,1
3130,1
3104,1
3098,1
3085,1
1814,2
3077,1
972,1
1851,2
705,7
3186,1
1781,2
899,1
2483,1
1095,5
2453,1
3406,1
2816,1
2429,0
2430,3
3409,1
2416,0
520,5
1554,2
1200,0
7365,0
1939,1
2682,1
2071,2
1460,2
786,4
7570,8
1651,3
1662,3
2544,1
1984,2
2018,0
7572,0
2851,1
2856,1
2594,1
1242,0
1646,0
615,7
422,11
746,2
453,8
2800,1
814,1
2262,1
1364,2
1866,2
3121,1
3099,1
2297,2
3029,1
1804,3
1105,3
3024,0
1780,2
1758,3
2874,1
1752,1
2863,1
2861,1
2850,1
2847,1
2169,2
2153,2
1485,1
2183,1
2121,1
2175,2
745,3
968,1
2969,1
2234,2
2768,2
2761,1
324,16
3347,1
1838,3
2762,1
447,10
2449,0
463,6
3346,1
3342,0
7464,0
1263,1
1259,3
1605,2
1448,3
1648,2
1620,2
2857,3
1017,1
775,8
1100,4
2685,1
2696,1
2626,1
2046,1
2037,2
678,7
303,12
1011,5
1684,2
480,8
911,8
1941,1
339,11
619,10
938,5
1118,3
2667,1
1440,4
1133,5
511,6
1511,3
1022,5
2739,1
2083,2
2051,1
1705,3
2723,1
2099,2
1704,2
2688,1
2683,1
2654,1
2678,1
2672,1
2675,2
1700,2
2670,1
2749,1
1660,3
2104,2
2068,4
2706,1
405,10
2708,1
2530,1
2101,3
1273,3
1468,3
2087,2
2092,2
2694,1
624,2
555,4
2991,1
2925,2
184,11
2357,2
3331,2
3250,1
3244,1
3416,1
3360,1
3343,1
7419,6
2960,1
450,2
909,6
1423,3
1616,2
2481,2
1619,3
3415,1
2373,2
2951,1
399,2
3440,0
3444,0
1204,0
3395,0
3393,0
1593,1
3383,1
1045,5
1884,3
3318,1
3306,1
1880,3
2080,1
7473,0
461,1
3235,1
1405,4
1201,1
7404,0
2043,2
1193,2
2269,2
1690,2
2628,1
2625,1
2623,1
1453,4
2033,1
2096,1
7439,0
2038,2
441,8
1665,4
1084,4
7546,3
7424,2
1053,5
1323,3
2985,1
1425,1
3208,0
1821,3
7468,1
3171,1
3412,0
3284,0
7342,0
7469,0
3179,2
2410,3
3403,1
1889,3
3246,1
2304,2
1829,0
2953,0
3302,0
7497,0
7339,0
7581,2
3404,1
3387,1
3379,1
2412,1
3425,0
2411,0
273,9
1706,1
925,4
1488,4
996,2
919,0
7451,0
1272,3
2019,2
444,16
2473,1
2624,0
1993,0
2455,0
827,1
1694,4
2720,1
2490,1
2580,2
1247,2
1990,1
1005,1
1434,1
1244,2
481,4
1013,3
856,3
7329,0
6644,1
2229,2
6958,1
3353,1
1879,3
3445,0
1397,0
1388,6
1915,3
2041,3
1058,3
1777,3
2610,1
1099,4
2663,1
2842,1
1683,5
2005,2
1951,2
1431,3
668,8
7524,2
722,2
922,4
999,4
1930,4
959,2
2309,2
2274,2
7418,1
7539,0
3031,1
502,5
1607,2
1594,2
2415,1
3398,0
3429,0
3426,0
3423,0
2413,0
3374,0
7370,0
3220,1
3213,1
3251,1
3285,1
3137,1
957,2
2933,1
2931,1
410,10
2911,1
2702,1
2193,2
2805,1
765,1
1592,2
2521,1
1071,4
2170,1
2165,1
2066,2
2684,1
2864,1
2862,1
2855,1
2838,1
343,8
325,7
1738,2
2774,0
1811,7
1671,1
7556,0
2299,3
1820,2
3079,3
3408,1
3396,1
2394,2
7502,2
7367,0
2225,3
3381,1
3371,0
2673,0
2421,2
1559,3
1591,0
895,3
3321,1
3294,1
3282,1
1227,4
1228,1
1216,1
1096,3
1097,0
1092,0
1231,0
1223,0
998,2
1217,0
1215,0
1211,0
1213,0
1079,1
1081,1
1418,0
1414,0
1408,0
1412,0
1411,0
1410,0
997,1
991,2
1403,0
1406,0
1219,1
1089,3
1609,0
1608,0
1437,5
3182,1
1439,1
849,4
2575,1
2572,1
1659,3
2549,1
2551,0
3212,1
791,7
2701,1
2653,0
2216,1
1850,1
2993,1
3267,2
2895,1
2242,1
2406,2
2526,1
2527,2
852,2
2245,2
2717,1
2094,1
477,6
2509,1
2510,2
1641,2
2507,1
2522,1
2518,1
2514,1
2515,1
2568,1
1644,2
2318,3
2584,1
7498,6
7481,1
3389,1
2325,2
1039,7
2236,1
1770,2
2905,1
1026,5
3094,1
1357,2
495,5
1377,3
1561,3
3262,1
1888,1
2348,1
3384,3
1761,2
737,2
2469,1
2456,1
7440,2
3152,0
2251,1
1852,1
541,14
763,3
2226,1
2197,2
2219,2
2939,1
2934,1
1507,2
2894,1
963,1
3115,1
1995,1
1913,1
1969,2
2451,1
2294,0
581,3
1463,2
1685,2
2822,1
2545,1
2564,1
1999,2
1647,3
213,6
808,1
261,2
218,13
3277,1
3338,1
839,4
2393,2
2971,2
7340,2
2609,1
864,4
2248,2
1692,2
2639,1
2574,1
858,2
425,3
3169,1
2714,1
2824,1
2156,1
1277,0
2815,1
3386,1
1234,2
1845,1
2213,2
1765,2
2990,1
3025,1
761,5
837,0
835,0
2246,1
2240,1
1514,2
1154,5
2965,1
995,4
1786,1
2659,1
1655,1
1964,1
1245,1
1668,1
1682,0
1527,2
2264,1
2224,2
1961,0
3248,1
3337,3
2392,1
363,4
1841,2
1160,2
7343,0
1965,2
1299,2
2634,2
2231,3
2191,1
1806,1
3117,1
2963,1
2924,1
3125,1
2286,2
2254,2
3022,1
3016,1
3003,1
2988,1
2958,1
2935,1
1515,0
1753,1
595,3
2946,0
2679,0
1696,2
7530,3
1557,3
2323,1
3333,1
